model,setting,fold,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
GCN,original,1,0.19166666666666668,0.17391834792177177,0.17391834792177174,0.31526870007262164,0.19166666666666668
GCN,original,2,0.375,0.36383833195494547,0.3638383319549455,0.37564044087032594,0.375
GCN,original,3,0.35833333333333334,0.34037447950491423,0.3403744795049143,0.37464596949891066,0.35833333333333334
GCN,original,4,0.3333333333333333,0.3183153643171851,0.3183153643171851,0.33430462726128357,0.3333333333333333
GCN,original,5,0.39166666666666666,0.385395505492889,0.385395505492889,0.40028495055668967,0.39166666666666666
GIN,original,1,0.24166666666666667,0.2268309029784771,0.2268309029784771,0.23588258147081675,0.24166666666666667
GIN,original,2,0.44166666666666665,0.43345022132312944,0.4334502213231294,0.4416412155432119,0.44166666666666665
GIN,original,3,0.38333333333333336,0.3664287414926801,0.3664287414926802,0.3809101082345865,0.3833333333333333
GIN,original,4,0.3416666666666667,0.32689114639915556,0.32689114639915556,0.3910968660968661,0.3416666666666666
GIN,original,5,0.36666666666666664,0.34383155457777326,0.3438315545777733,0.3849862752118391,0.3666666666666667
GraphSAGE,original,1,0.225,0.19976979093258165,0.1997697909325816,0.21718426501035196,0.225
GraphSAGE,original,2,0.36666666666666664,0.31757985133187067,0.3175798513318707,0.29937013824481856,0.36666666666666664
GraphSAGE,original,3,0.3,0.2813937218154042,0.28139372181540423,0.275225468975469,0.3
GraphSAGE,original,4,0.35,0.31855980689211133,0.31855980689211133,0.34423175390917327,0.35000000000000003
GraphSAGE,original,5,0.38333333333333336,0.360375939849624,0.360375939849624,0.43472222222222223,0.38333333333333336
GCN,degree_clustering,1,0.19166666666666668,0.18126701143448362,0.18126701143448362,0.19452063740856843,0.19166666666666665
GCN,degree_clustering,2,0.25833333333333336,0.2388346221679555,0.2388346221679555,0.26344882650029705,0.2583333333333333
GCN,degree_clustering,3,0.225,0.21324433576921564,0.21324433576921564,0.22149106984633296,0.22499999999999998
GCN,degree_clustering,4,0.25833333333333336,0.22046426458191162,0.22046426458191162,0.2039695262255933,0.25833333333333336
GCN,degree_clustering,5,0.25833333333333336,0.2596628438733702,0.2596628438733702,0.2635226360613358,0.2583333333333333
GIN,degree_clustering,1,0.16666666666666666,0.15767029551615977,0.15767029551615977,0.16374187406796104,0.16666666666666666
GIN,degree_clustering,2,0.2833333333333333,0.280391177450001,0.280391177450001,0.2997889807100333,0.28333333333333327
GIN,degree_clustering,3,0.225,0.21266777814818782,0.21266777814818782,0.21127929804400392,0.225
GIN,degree_clustering,4,0.21666666666666667,0.20340585939568365,0.20340585939568362,0.1948005698005698,0.21666666666666665
GIN,degree_clustering,5,0.24166666666666667,0.23789770136384367,0.23789770136384364,0.2527087646652864,0.24166666666666667
GraphSAGE,degree_clustering,1,0.20833333333333334,0.192715681404206,0.19271568140420603,0.24139305816135084,0.20833333333333334
GraphSAGE,degree_clustering,2,0.25833333333333336,0.1999516859361131,0.1999516859361131,0.1899063899063899,0.25833333333333336
GraphSAGE,degree_clustering,3,0.25,0.18994625400273665,0.18994625400273665,0.20032855436081243,0.25
GraphSAGE,degree_clustering,4,0.19166666666666668,0.17041242145300964,0.17041242145300967,0.16267374600707937,0.19166666666666665
GraphSAGE,degree_clustering,5,0.25833333333333336,0.20778992709398678,0.20778992709398678,0.23119183157133819,0.25833333333333336
GCN,centrality_bundle,1,0.275,0.27522678706148695,0.27522678706148695,0.32820325099736863,0.27499999999999997
GCN,centrality_bundle,2,0.30833333333333335,0.3059935296607191,0.30599352966071913,0.33114694700060554,0.30833333333333335
GCN,centrality_bundle,3,0.3333333333333333,0.31293174440929256,0.3129317444092926,0.3270518393516105,0.3333333333333333
GCN,centrality_bundle,4,0.2916666666666667,0.2916209865126274,0.29162098651262736,0.32275942993684925,0.2916666666666667
GCN,centrality_bundle,5,0.3,0.28013206885357195,0.2801320688535719,0.27279351917608446,0.3
GIN,centrality_bundle,1,0.35833333333333334,0.36115191997544943,0.36115191997544943,0.387505297946724,0.3583333333333332
GIN,centrality_bundle,2,0.35,0.3444085169284852,0.3444085169284852,0.3586156597026163,0.35000000000000003
GIN,centrality_bundle,3,0.4166666666666667,0.41003416518122404,0.410034165181224,0.4287220843672456,0.4166666666666667
GIN,centrality_bundle,4,0.375,0.3704776635966149,0.37047766359661494,0.39263829623649715,0.375
GIN,centrality_bundle,5,0.31666666666666665,0.30768231681905855,0.3076823168190585,0.340588212956634,0.3166666666666667
GraphSAGE,centrality_bundle,1,0.21666666666666667,0.19055863066347176,0.19055863066347176,0.3208456333456333,0.21666666666666667
GraphSAGE,centrality_bundle,2,0.35833333333333334,0.33395000364269456,0.33395000364269456,0.3532112310847943,0.35833333333333334
GraphSAGE,centrality_bundle,3,0.35833333333333334,0.30306861720654826,0.30306861720654815,0.35933760683760685,0.35833333333333334
GraphSAGE,centrality_bundle,4,0.31666666666666665,0.28675745170388095,0.28675745170388095,0.30594778028988556,0.31666666666666665
GraphSAGE,centrality_bundle,5,0.2916666666666667,0.2448245701442632,0.24482457014426323,0.31141178266178265,0.2916666666666667
GCN,structure_plus_spectral,1,0.275,0.26121436035229134,0.2612143603522914,0.28136678136678134,0.27499999999999997
GCN,structure_plus_spectral,2,0.325,0.3177739359982105,0.3177739359982105,0.3357926616440548,0.325
GCN,structure_plus_spectral,3,0.325,0.30985312117503055,0.3098531211750306,0.3081421095008051,0.325
GCN,structure_plus_spectral,4,0.30833333333333335,0.3016548430593053,0.3016548430593053,0.33649394586894593,0.30833333333333335
GCN,structure_plus_spectral,5,0.25,0.24339978976481125,0.2433997897648113,0.24550118091784756,0.25
GIN,structure_plus_spectral,1,0.26666666666666666,0.26324006106614806,0.26324006106614806,0.30764652014652016,0.26666666666666666
GIN,structure_plus_spectral,2,0.375,0.3737592757169137,0.3737592757169137,0.38826795338018244,0.375
GIN,structure_plus_spectral,3,0.30833333333333335,0.3089509276957143,0.30895092769571436,0.3287737083839033,0.30833333333333335
GIN,structure_plus_spectral,4,0.35833333333333334,0.35401014234186845,0.3540101423418685,0.3892769640689296,0.35833333333333334
GIN,structure_plus_spectral,5,0.35833333333333334,0.36751398593503853,0.36751398593503853,0.40586387332710855,0.35833333333333334
GraphSAGE,structure_plus_spectral,1,0.20833333333333334,0.17202880175352966,0.17202880175352966,0.18474012152173072,0.20833333333333334
GraphSAGE,structure_plus_spectral,2,0.2916666666666667,0.2821156143736789,0.2821156143736789,0.3210497835497836,0.2916666666666667
GraphSAGE,structure_plus_spectral,3,0.3,0.28730688643087565,0.2873068864308756,0.3041665723100548,0.3
