model,initialization,hidden_dim,dropout,lr,layers,accuracy,macro_f1,weighted_f1,epochs_run
GCN,centrality_bundle,64,0.5,0.001,4,0.38333333333333336,0.3797399801858623,0.3797399801858623,50
GCN,centrality_bundle,64,0.3,0.001,4,0.35833333333333334,0.35929933060465685,0.3592993306046569,50
GCN,centrality_bundle,64,0.3,0.0005,4,0.35833333333333334,0.3405332690880883,0.3405332690880883,50
GCN,original,32,0.3,0.001,4,0.35,0.33148696472674016,0.3314869647267402,50
GCN,original,64,0.5,0.001,4,0.35,0.328846387969625,0.32884638796962495,50
GCN,original,64,0.3,0.0005,4,0.3416666666666667,0.3131425507119181,0.31314255071191804,50
GCN,original,64,0.3,0.001,2,0.35,0.31241050026940104,0.312410500269401,50
GCN,original,64,0.3,0.001,3,0.30833333333333335,0.3047612378284647,0.3047612378284647,50
GCN,structure_plus_spectral,64,0.3,0.001,2,0.30833333333333335,0.2995498281212567,0.2995498281212567,50
GCN,centrality_bundle,64,0.5,0.0005,4,0.325,0.29907104065736956,0.2990710406573696,50
GCN,original,32,0.3,0.0005,4,0.3,0.2964031911293575,0.2964031911293575,50
GCN,original,64,0.5,0.0005,4,0.31666666666666665,0.2882613132335663,0.2882613132335663,50
GCN,original,32,0.3,0.001,3,0.2833333333333333,0.28557131552523257,0.28557131552523257,34
GCN,structure_plus_spectral,64,0.3,0.001,3,0.2833333333333333,0.28551209103840686,0.2855120910384068,50
GCN,structure_plus_spectral,64,0.3,0.0005,2,0.2833333333333333,0.2830451954938959,0.28304519549389595,50
GCN,centrality_bundle,64,0.5,0.001,3,0.2833333333333333,0.2804821928771508,0.28048219287715087,50
GCN,original,64,0.5,0.001,3,0.275,0.2795713581557869,0.2795713581557869,50
GCN,centrality_bundle,64,0.5,0.0005,3,0.2833333333333333,0.2757264444239234,0.2757264444239234,50
GCN,centrality_bundle,64,0.3,0.0005,3,0.275,0.2727632296781233,0.2727632296781233,50
GCN,centrality_bundle,64,0.3,0.001,3,0.275,0.27010752334243987,0.2701075233424399,50
GCN,original,64,0.3,0.001,4,0.2916666666666667,0.2699907615976483,0.26999076159764823,50
GCN,original,32,0.5,0.001,4,0.2916666666666667,0.26577199374668053,0.2657719937466806,50
GCN,centrality_bundle,64,0.5,0.001,2,0.2833333333333333,0.26167324963851635,0.2616732496385163,50
GCN,original,64,0.5,0.0005,3,0.26666666666666666,0.25969145339780203,0.259691453397802,50
GCN,centrality_bundle,64,0.3,0.001,2,0.275,0.2587184218763166,0.2587184218763166,47
GCN,structure_plus_spectral,64,0.5,0.001,3,0.25,0.2564858051876148,0.25648580518761477,50
GCN,centrality_bundle,64,0.5,0.0005,2,0.275,0.2557197508726495,0.2557197508726495,50
GCN,structure_plus_spectral,32,0.3,0.001,2,0.25833333333333336,0.255692916399099,0.255692916399099,50
GCN,structure_plus_spectral,64,0.3,0.001,4,0.25,0.24958009433815886,0.24958009433815886,49
