model,setting,seed,layers,best_val_acc,test_acc
GCN,original,42,3,0.37777777777777777,0.37777777777777777
GCN,constant,42,3,0.2777777777777778,0.2
GCN,random,42,3,0.26666666666666666,0.2222222222222222
GCN,degree,42,3,0.24444444444444444,0.18888888888888888
GCN,degree_clustering,42,3,0.28888888888888886,0.2777777777777778
GIN,original,42,3,0.43333333333333335,0.4
GIN,constant,42,3,0.26666666666666666,0.18888888888888888
GIN,random,42,3,0.28888888888888886,0.17777777777777778
GIN,degree,42,3,0.25555555555555554,0.2222222222222222
GIN,degree_clustering,42,3,0.3111111111111111,0.23333333333333334
GraphSAGE,original,42,3,0.3111111111111111,0.28888888888888886
GraphSAGE,constant,42,3,0.17777777777777778,0.16666666666666666
GraphSAGE,random,42,3,0.2222222222222222,0.28888888888888886
GraphSAGE,degree,42,3,0.2777777777777778,0.23333333333333334
GraphSAGE,degree_clustering,42,3,0.34444444444444444,0.23333333333333334
